순위,이름,총점,맛,재료,카테고리,나라
0,라조육,491.49224129565926,70.95343790159237,100.0,80.0,80.0
1,짜춘권,453.63618159124866,68.19531831811297,75.0,80.0,80.0
2,깐풍기,424.6219748843311,70.73172148762343,50.0,80.0,80.0
3,치즈돈까스,424.15026230639523,66.55704329724267,100.0,80.0,20.0
4,탕수육,422.24091309471754,49.39575634414225,75.0,80.0,80.0
5,생선탕수,421.24728428868826,48.800769035142665,75.0,80.0,80.0
6,라조기,409.9425761938676,61.94166239153749,50.0,80.0,80.0
7,깐풍새우,406.5058110449826,59.883719188612346,50.0,80.0,80.0
8,오징어탕수,397.16371479208726,54.28964957610016,50.0,80.0,80.0
9,닭날개튀김,390.52999589506715,66.33532688327374,75.0,80.0,20.0
10,장어깐풍기,383.296203897394,45.98575083676287,50.0,80.0,80.0
11,가지튀김,376.92031178518107,58.18581544022818,75.0,80.0,20.0
12,돈까스,368.6842839648359,53.254062254392764,75.0,80.0,20.0
13,콩 햄버그,364.99224129565926,70.95343790159237,50.0,80.0,20.0
14,닭고기명란튀김,357.27999589506715,66.33532688327374,50.0,80.0,20.0
15,닭고기카레튀김,357.27999589506715,66.33532688327374,50.0,80.0,20.0
16,양상추튀김,344.356003696753,58.596409399253304,50.0,80.0,20.0
17,딤섬,340.9781605805126,72.59171292246266,75.0,20.0,80.0
18,난자완스,340.2423585592906,72.15111290975486,75.0,20.0,80.0
19,돼지고기표고볶음,336.96506640167723,70.1886625159744,75.0,20.0,80.0
20,고추부각,330.17916291659503,70.0174628243084,25.0,80.0,20.0
21,중국식볶음밥,325.0931134825508,63.07970867218611,75.0,20.0,80.0
22,물만두,322.0865077613174,61.27934596486073,75.0,20.0,80.0
23,단호박튀김,320.6818979968639,44.4202982017149,50.0,80.0,20.0
24,아게다시도후,316.9632626302476,62.10375007799257,25.0,80.0,20.0
25,오향장육,316.8570856622056,58.14795548635066,75.0,20.0,80.0
26,양파쌈파이,309.963301838667,57.91215678962097,25.0,80.0,20.0
27,고추장닭강정,309.41127406306344,37.67142159464878,50.0,80.0,20.0
28,잡채밥,307.20794912095755,52.37002941374704,75.0,20.0,80.0
29,김치어묵,306.26845494134614,35.78949397685396,50.0,80.0,20.0
30,두부탕,303.8495394375733,70.26918529196004,50.0,20.0,80.0
31,꽃만두국(완당국),303.71506640167723,70.1886625159744,50.0,20.0,80.0
32,고등어살튀김과소스,302.1842839648359,53.254062254392764,25.0,80.0,20.0
33,닭강정,301.2384723656937,32.77752836269086,50.0,80.0,20.0
34,짬뽕해물탕밥,295.53971543979196,45.38306313759997,75.0,20.0,80.0
35,고등어 다쓰타튀김,295.4830863099103,49.24136904785048,25.0,80.0,20.0
36,기스면,289.10719419769737,61.44143365131581,50.0,20.0,80.0
37,치킨수프,288.93608773626556,61.33897469237459,50.0,20.0,80.0
38,버섯잡채밥,288.8365077613174,61.27934596486073,50.0,20.0,80.0
39,삼겹살치즈구이,285.30897456047876,75.18501470687353,75.0,20.0,20.0
40,마파두부덮밥,284.72601514445245,38.90779349967214,75.0,20.0,80.0
41,삼겹살깻잎전,283.5641348171391,54.23002084858629,100.0,20.0,20.0
42,아게비타시,281.5981564755798,40.92703980573639,25.0,80.0,20.0
43,제육배추찜,280.42131569542175,52.34809323079148,100.0,20.0,20.0
44,버섯만두전골,277.23575283805724,70.35075020242948,75.0,20.0,20.0
45,떡만두국,277.1361728631091,70.29112147491561,75.0,20.0,20.0
46,양장피,276.8588560406532,34.1969197848223,75.0,20.0,80.0
47,해물국수,276.6926396007093,70.02553269503552,75.0,20.0,20.0
48,삼겹살채소말이,275.3546996942336,49.31419143367282,100.0,20.0,20.0
