순위,이름,총점,맛,재료,카테고리,나라
0,돌솥비빔밥,454.5518731,71.45093653,75,80,80
1,상추겉절이비빔밥,447.2012487,80.30062435,60,80,80
2,별미밥,396.941261,59.34563049,55,80,80
3,열무비빔밥,396.1018731,71.45093653,40,80,80
4,모듬쌈밥,386.7524974,62.60124871,45,80,80
5,꽃상추쌈,378.4024974,62.60124871,40,80,80
6,김치주먹밥,377.4031218,53.75156088,50,80,80
7,콩나물무밥,377.4031218,53.75156088,50,80,80
8,영양채소밥,371.891261,59.34563049,40,80,80
9,버섯덮밥,370.3352989,46.04264945,55,80,80
10,가지무침과 호박잎쌈밥,360.7031218,53.75156088,40,80,80
11,닭고기콩나물덮밥,359.7037461,44.90187306,50,80,80
12,콩나물국밥,356.0306489,47.24032446,45,80,80
13,콩나물비빔밥,355.191261,59.34563049,30,80,80
14,충무김밥,355.191261,59.34563049,30,80,80
15,김치채소쌈,354.1918853,50.49594267,40,80,80
16,콩나물밥,353.3524974,62.60124871,25,80,80
17,시금치된장죽,346.0018731,71.45093653,10,80,80
18,배추만두,332.0024974,62.60124871,60,20,80
19,사색나물,332.0024974,62.60124871,60,20,80
20,시금치표고된장무른밥,329.1418853,50.49594267,25,80,80
21,콩나물버섯덮밥,328.9818976,29.54094881,50,80,80
22,채소영양밥,327.3031218,53.75156088,20,80,80
23,비빔쌀국수,326.4906366,68.19531832,50,20,80
24,콩나물잡채,322.0965353,49.29826766,70,20,80
25,오곡밥쌈밥정식,321.6312733,38.39063664,35,80,80
26,양송이버섯죽,319.7925097,41.64625485,30,80,80
27,해물밥전,317.6799612,23.88998059,50,80,80
28,캘리포니아롤,312.8906366,68.19531832,30,80,20
29,오곡주먹밥,312.4418853,50.49594267,15,80,80
30,김치쌈밥,312.4418853,50.49594267,15,80,80
31,계란말이주먹밥,312.2818976,29.54094881,40,80,80
32,찬밥맛탕,311.8852989,46.04264945,20,80,80
33,영양돌솥밥,309.6037461,44.90187306,20,80,80
34,북어해장국밥,308.047784,31.59889202,35,80,80
35,초교탕,307.7918853,50.49594267,60,20,80
36,녹차수제비,306.9524974,62.60124871,45,20,80
37,찰밥주먹밥,304.0918853,50.49594267,10,80,80
38,오이나물,299.6018731,71.45093653,30,20,80
39,상추 치커리 오징어 초침무,299.0452866,66.99764331,35,20,80
40,채소국수,298.6024974,62.60124871,40,20,80
41,쇠고기덮밥,297.4206612,26.2853306,35,80,80
42,잡채밥,295.0312733,38.39063664,55,80,20
43,배추겉절이,293.0906366,68.19531832,30,20,80
44,채소수프,292.3531218,53.75156088,35,80,20
45,닭고기수삼샐러드,292.091261,59.34563049,40,20,80
46,봄동바지락볶음,291.2518731,71.45093653,25,20,80
47,오징어덮밥,290.0700369,35.13501843,20,80,80
48,낙지전골,289.6540989,45.60204944,55,20,80
49,양배추말이찜,289.2531218,53.75156088,45,20,80
50,녹두죽,289.2306489,47.24032446,5,80,80
51,잣죽,289.2306489,47.24032446,5,80,80
52,카레토마토달걀볶음밥,288.6800246,56.09001228,30,80,20
53,흑임자삼계죽,287.2318976,29.54094881,25,80,80
54,누드김밥,286.841261,59.34563049,25,80,20
55,돛나물 부추 오이무침,286.5794002,64.93970011,30,20,80
56,참치죽,284.8365476,28.3432738,25,80,80
57,새우겨자채,284.8174384,59.88371919,35,20,80
58,가는파잡채,284.7406366,68.19531832,25,20,80
59,김치수제비,284.5806489,47.24032446,50,20,80
60,시래기돼지갈비찜,284.5806489,47.24032446,50,20,80
61,중국식볶음밥,284.4040989,45.60204944,40,80,20
62,채소스프,284.0031218,53.75156088,30,80,20
63,봄동겉절이,283.741261,59.34563049,35,20,80
64,생굴채소무침,283.741261,59.34563049,35,20,80
65,잔치국수,283.741261,59.34563049,35,20,80
66,호박죽,283.5587489,44.40437443,5,80,80
67,얼갈이열무물김치,281.9792992,54.28964958,40,20,80
68,죽순회와미나리강회,281.9024974,62.60124871,30,20,80
69,주먹밥,281.7425097,41.64625485,55,20,80
70,해물볶음밥,281.7200369,35.13501843,15,80,80
71,불고기낙지전골,280.7475124,41.14875622,55,20,80
72,찰밥,279.8812733,38.39063664,10,80,80
73,열무김치냉면,276.6734381,51.63671906,40,20,80
74,가지된장찜,276.2306489,47.24032446,45,20,80
75,김치볶음밥,275.9299612,23.88998059,25,80,80
76,오이동치미,275.7922381,51.19611905,40,20,80
77,한우토마토스튜,275.6740625,42.78703124,50,20,80
78,버섯두부찌개,275.6740625,42.78703124,50,20,80
79,미역수제비,274.3918853,50.49594267,40,20,80
80,배추속댓국,274.3918853,50.49594267,40,20,80
81,해파리해물냉채,274.3918853,50.49594267,40,20,80
82,돈까스덮밥,274.1739614,32.13698071,50,80,20
83,버섯만두전골,273.7934868,33.4967434,60,20,80
84,쇠고기산적,273.2787125,41.58935623,50,20,80
85,전복죽,271.5312733,38.39063664,5,80,80
86,모듬전,271.3981368,32.2990684,60,20,80
87,버섯잡채밥,270.8206612,26.2853306,55,80,20
88,북어국,270.7911599,48.69557996,40,20,80
89,마늘볶음국수,269.9812733,38.39063664,40,80,20
90,흑임자죽,269.1359233,37.19296163,5,80,80
91,골뱅이무침,268.3234381,51.63671906,35,20,80
92,다시마채소말이,268.0406366,68.19531832,15,20,80
93,전어회무침,267.8806489,47.24032446,40,20,80
94,두부두루치기,267.3240625,42.78703124,45,20,80
95,호박두부찌개,267.041261,59.34563049,25,20,80
96,근대된장국,267.041261,59.34563049,25,20,80
97,닭가슴살해파리샐러드,267.041261,59.34563049,25,20,80
98,해물국수,266.0418853,50.49594267,35,20,80
99,찬밥전,266.0418853,50.49594267,35,20,80
100,붉은갓동치미,265.6034745,54.45173726,30,20,80
101,콩비지동그랑땡,265.4852989,46.04264945,40,20,80
102,양배춧국,265.2024974,62.60124871,20,20,80
103,아구탕,265.1193114,33.33465572,55,20,80
104,무생채,264.645911,58.14795549,25,20,80
105,국수전골,264.6040989,45.60204944,40,20,80
106,낙지불고기,263.9293368,32.73966841,55,20,80
107,된장찌개,263.6465353,49.29826766,35,20,80
108,무초김치,262.8839491,53.09197457,30,20,80
109,파프리카볶음밥,261.6312733,38.39063664,35,80,20
110,김치두부쌈,260.5300246,56.09001228,25,20,80
111,버섯청국장찌개,258.9740625,42.78703124,40,20,80
112,우거지된장찌개,258.9740625,42.78703124,40,20,80
113,상추채소무침,258.691261,59.34563049,20,20,80
114,돈부리,258.6793368,32.73966841,40,80,20
115,채소비빔소면,258.1346746,54.89233728,25,20,80
116,새우도리아,257.9163124,40.70815621,30,80,20
117,송어샐러드,257.6918853,50.49594267,30,20,80
118,쑥버섯볶음,257.6918853,50.49594267,30,20,80
119,죽순볶음,257.6918853,50.49594267,30,20,80
120,김치적,257.6918853,50.49594267,30,20,80
121,더덕구이,257.2534745,54.45173726,25,20,80
122,가지쇠고기볶음,257.1352989,46.04264945,35,20,80
123,오이냉국,256.9292992,54.28964958,25,20,80
124,된장채소수제비,256.6925097,41.64625485,40,20,80
125,삼색나물월남쌈,255.3024974,62.60124871,50,20,20
126,해물전골,255.2547232,36.75236162,45,20,80
127,해파리냉채,255.0905356,57.54526779,20,20,80
128,단팥죽,254.908075,30.07903751,5,80,80
129,간장게장,254.492137,40.54606852,40,20,80
130,오이지장아찌무침,254.3708193,53.01040966,25,20,80
131,비빔냉면,254.259726,36.25486299,45,20,80
132,삼색태극말이초밥,252.4418853,50.49594267,15,80,20
133,마파두부덮밥,252.1681004,29.4840502,40,80,20
134,해물찌개,252.0200369,35.13501843,45,20,80
135,쇠고기양송이볶음,251.6234381,51.63671906,25,20,80
136,채소치즈죽,251.4425097,41.64625485,25,80,20
137,코다리조림,251.1806489,47.24032446,30,20,80
138,무쌈말이,251.1806489,47.24032446,30,20,80
139,떡꼬치,250.341261,59.34563049,15,20,80
140,김치홍합국,250.341261,59.34563049,15,20,80
141,시금치된장국,250.341261,59.34563049,15,20,80
142,새송이쌈장구이,250.1812733,38.39063664,40,20,80
143,단호박주뻬따,250.0047232,36.75236162,30,80,20
144,감자수제비,249.7846746,54.89233728,20,20,80
145,쇠고기무국,249.6246868,33.93734342,45,20,80
146,양파전,249.6246868,33.93734342,45,20,80
147,가지와마른새우무침,249.3418853,50.49594267,25,20,80
148,고구마줄기볶음,249.3418853,50.49594267,25,20,80
149,화양적,249.1818976,29.54094881,50,20,80
150,묵과양념장,248.5024974,62.60124871,10,20,80
151,찬밥지짐이,248.3425097,41.64625485,35,20,80
152,오징어삼겹살볶음,247.9809006,37.29045031,40,20,80
153,만둣국,247.7859233,37.19296163,40,20,80
154,떡국,247.7859233,37.19296163,40,20,80
155,제육보쌈,247.7441112,24.64705558,55,20,80
156,나물 월남쌈,246.9524974,62.60124871,45,20,20
157,떡만두국,246.9047232,36.75236162,40,20,80
158,오징어순대,246.7865476,28.3432738,50,20,80
159,순두부찌개,245.9471597,40.44857984,35,20,80
160,달래된장찌개,245.9471597,40.44857984,35,20,80
161,곱창전골,245.3487611,23.44938057,55,20,80
162,떡갈비구이,244.6694125,43.98470625,30,20,80
163,짬뽕해물탕밥,243.7762883,16.93814415,50,80,20
164,마키즈시,242.9787125,41.58935623,20,80,20
165,고구마잎무침,242.8306489,47.24032446,25,20,80
166,잡채,242.6706612,26.2853306,50,20,80
167,김치동그랑땡,241.8312733,38.39063664,35,20,80
168,매운가지볶음,241.8312733,38.39063664,35,20,80
169,쫄면,241.3928625,42.34643123,30,20,80
170,삼색수제비,241.2746868,33.93734342,40,20,80
171,해물국시,240.9918853,50.49594267,20,20,80
172,어묵꼬치,240.9918853,50.49594267,20,20,80
173,호박양파국,240.9918853,50.49594267,20,20,80
174,다시마냉국,240.9494296,42.12471481,30,20,80
175,오징어섞어찌개,240.8318976,29.54094881,45,20,80
176,두부굴찌개,240.4352989,46.04264945,25,20,80
177,대구탕,240.3934868,33.4967434,40,20,80
178,잉어찜,240.2753112,25.08765559,50,20,80
179,가니타마돈,239.568586,31.53429301,30,80,20
180,동치미막국수,239.5540989,45.60204944,25,20,80
181,생태매운탕,238.9557003,28.60285017,45,20,80
182,알탕,238.5133493,20.03167467,55,20,80
183,쟁반라면,238.4365476,28.3432738,45,20,80
184,누룽지탕,238.4200369,35.13501843,25,80,20
