순위,이름,총점,맛,재료,카테고리,나라
0,사골우거지탕,447.98973067043164,71.45093652920059,66.66666666666667,80.0,80.0
1,쇠고기무국,446.24849358999364,77.04500614171278,58.33333333333333,80.0,80.0
2,닭개장,444.2483763263623,75.84733113355028,58.33333333333333,80.0,80.0
3,곰탕,444.1990646514696,62.54435009070038,75.0,80.0,80.0
4,떡국,442.55284825791534,68.19531831811297,66.66666666666667,80.0,80.0
5,사골탕,433.1157313181363,62.54435009070038,66.66666666666667,80.0,80.0
6,도가니탕,426.0326325120657,64.93970010702535,58.33333333333333,80.0,80.0
7,선지국,424.08182692332696,77.04500614171278,41.666666666666664,80.0,80.0
8,갈비탕,418.3860643276173,66.99764330995048,50.0,80.0,80.0
9,토란곰탕,414.69041899553895,58.147955486350675,58.33333333333333,80.0,80.0
10,맑은떡국,412.949181915101,63.742025098862875,50.0,80.0,80.0
11,초교탕,412.8998702402083,50.43904405601297,66.66666666666666,80.0,80.0
12,꼬리곰탕,412.21337989387894,63.30142508615505,50.0,80.0,80.0
13,아구탕,411.0440853383533,62.60124870560077,50.0,80.0,80.0
14,설렁탕,410.9490646514696,62.54435009070038,50.0,80.0,80.0
15,근대된장국,409.25353658302265,54.89233727526306,58.33333333333333,80.0,80.0
16,두부국,405.607202925837,59.34563049451316,50.0,80.0,80.0
17,대구탕,401.91516025666033,77.04500614171278,25.0,80.0,80.0
18,무맑은국,401.86584858176764,63.742025098862875,41.666666666666664,80.0,80.0
19,생태매운탕,400.8593601241656,63.13933739969997,41.666666666666664,80.0,80.0
20,배추속댓국,396.47467518124233,47.240324459825736,58.33333333333333,80.0,80.0
21,두부조개탕,396.2193976609506,66.99764330995048,33.33333333333333,80.0,80.0
22,삼계탕,387.08686991635597,54.89233727526306,41.666666666666664,80.0,80.0
23,홍합탕,387.08686991635597,54.89233727526306,41.666666666666664,80.0,80.0
24,북어국,385.39134184790896,47.240324459825736,50.0,80.0,80.0
25,맑은대구탕,385.1360643276173,66.99764330995048,25.0,80.0,80.0
26,잉어찜,384.297688001255,89.1503121764002,41.666666666666664,20.0,80.0
27,쇠고기완자찜,380.6020426691766,80.3006243528004,50.0,20.0,80.0
28,낙지불고기,380.6020426691766,80.3006243528004,50.0,20.0,80.0
29,쇠고기덮밥,380.55273099428393,66.99764330995048,66.66666666666667,20.0,80.0
30,한우토마토스튜,378.86080558873863,85.89469396531257,41.666666666666664,20.0,80.0
31,버섯덮밥,378.811493913846,72.59171292246268,58.333333333333336,20.0,80.0
32,조개맑은국,378.003653846654,56.090012283425544,33.33333333333333,80.0,80.0
33,곱창전골,377.115965845399,64.93970010702535,66.66666666666667,20.0,80.0
34,떡갈비구이,375.16516025666033,77.04500614171278,50.0,20.0,80.0
35,버섯만두전골,375.16516025666033,77.04500614171278,50.0,20.0,80.0
36,갈비찜,375.11584858176764,63.742025098862875,66.66666666666667,20.0,80.0
37,어묵꼬치,374.26229950258465,60.486406887775246,25.0,80.0,80.0
38,생태국,372.357202925837,59.34563049451316,25.0,80.0,80.0
39,떡만두국,371.469514924582,68.19531831811297,58.333333333333336,20.0,80.0
40,제육보쌈,369.51870933584325,80.30062435280038,41.666666666666664,20.0,80.0
41,해물전골,369.51870933584325,80.30062435280038,41.666666666666664,20.0,80.0
42,쇠고기장조림,369.4693976609506,66.99764330995048,58.333333333333336,20.0,80.0
43,호박양파국,368.566536906875,50.43904405601297,33.33333333333333,80.0,80.0
44,어묵국,366.9203205133207,56.090012283425544,25.0,80.0,80.0
45,가지쇠고기볶음,366.0326325120657,64.93970010702535,58.33333333333333,20.0,80.0
46,모듬전,366.0326325120657,64.93970010702535,58.333333333333336,20.0,80.0
47,오징어순대,365.82306400376496,71.45093652920058,50.0,20.0,80.0
48,잡채,365.82306400376496,71.45093652920058,50.0,20.0,80.0
49,쇠고기산적,365.82306400376496,71.45093652920058,50.0,20.0,80.0
50,미역국,364.9202032496893,54.89233727526306,25.0,80.0,80.0
51,쇠고기양송이볶음,364.08182692332696,77.04500614171278,41.666666666666664,20.0,80.0
52,바지락볶음,364.08182692332696,77.04500614171278,41.666666666666664,20.0,80.0
53,콩나물버섯덮밥,364.0325152484343,63.74202509886286,58.333333333333336,20.0,80.0
54,주먹밥,364.0325152484343,63.742025098862875,58.333333333333336,20.0,80.0
55,동래파전,364.0325152484343,63.742025098862875,58.333333333333336,20.0,80.0
56,미역냉국,363.71471303259636,40.897033752053694,41.666666666666664,80.0,80.0
57,애호박 구이,362.08170965969566,75.8473311335503,41.666666666666664,20.0,80.0
58,달래굴파전,362.08170965969566,75.84733113355028,41.666666666666664,20.0,80.0
59,아욱국,361.2245579176109,46.04264945166325,33.33333333333333,80.0,80.0
60,만둣국,360.38618159124866,68.19531831811297,50.0,20.0,80.0
61,유부미역된장국,359.5326325120657,64.93970010702535,8.333333333333332,80.0,80.0
62,시금치된장국,359.483320837173,51.63671906417545,25.0,80.0,80.0
63,단호박 고등어조림,358.43537600250994,80.30062435280038,33.33333333333333,20.0,80.0
64,화양적,358.3860643276173,66.99764330995048,50.0,20.0,80.0
65,해물밥전,358.3860643276173,66.99764330995048,50.0,20.0,80.0
66,새송이산적,357.65026230639523,66.55704329724267,50.0,20.0,80.0
67,재첩국,357.5325152484343,63.742025098862875,8.333333333333332,80.0,80.0
68,우무콩냉국,356.79671322721225,63.30142508615505,8.333333333333332,80.0,80.0
69,해물잡채,356.69413892207194,85.89469396531257,25.0,20.0,80.0
70,양파전,356.6905362591703,59.34563049451316,58.333333333333336,20.0,80.0
71,순두부찌개,356.6905362591703,59.34563049451316,58.333333333333336,20.0,80.0
72,알탕,356.6905362591703,59.34563049451316,58.33333333333333,20.0,80.0
73,별미밥,356.5955155722867,59.28873187961277,58.333333333333336,20.0,80.0
74,양배춧국,355.7876755050946,42.787031240575644,33.33333333333333,80.0,80.0
75,간장떡볶이,354.9492991787323,64.93970010702535,50.0,20.0,80.0
76,돼지갈비찜,354.73973067043164,71.45093652920059,41.666666666666664,20.0,80.0
